SchemeCode,SchemeName,DeptCode
1,Rashtriya Krishi Vikas Yojna (RKVY) (60:40),1
2,Support to State Extension Programme (60:40) (NMAET) (Submission on Agriculture Extension),1
3,Upgradation of Soil Health Labs under the National Project on Management of Soil Health and Fertility (60:40) (National mission for Sustainable Agriculture- NMSA,1
4,National Food Security Mission (NFSM) (60:40),1
5,Sub-mission on Agriculture Mechanization (60:40) (NMAET),1
6,Parampragat Krishi Vikas Yojna (60:40) (NMSA),1
7,Debt Relief to Farmers/Landless Labourers/Suicide effected families of farmers,1
8,PANNI BACHAO PAISA KAMAO,1
9,Compensation to farmers for stubble management,1
10,Incentivizing Direct Seeding of Rice(DSR),1
11,Crop Diversification Programme,1
12,Promotion of Pulses in Punjab,1
13,Agricultural Marketing Innovation Research and Intelligence Centre (AMIRIC) established at Kalkal Bhawan, Mohali (SAS Nagar),1
14,Crop Residue Management,1
15,An integrated facility for fruits and vegetable is being set up by Punjab Agri Export Corporation Ltd. at Abohar,1
16,Upgradation of Veterinary institutions in the State under RIDFXVII(NABARD) (95:5),2
17,Construction of buildings of tehsil and block level Veterinary Hospitals and other veterinary Hospitals in the State under RIDFXVIII (NABARD) (95:5),2
18,Assistance to States for control of Animal diseases -Creation of disease free zone (60:40) (VSAH),2
19,Foot and Mouth Disease Control Programme (60:40) (VSAH),2
20,National Livestock Mission (60:40) NLM,2
21,Provision of essential staff for remaining districts,3
22,Strengthening of Punjab Dairy Development Board,3
23,Promotion of Dairy farming as livelihood for SC beneficiaries,3
24,Dairy Extension Training and Awareness,3
25,Setting up of Dairy Units for Sustainable Livestock and employment generation,3
26,Central Sector Scheme on Blue revolution - Integrated Development & Management of Fisheries(50:50),4
27,Pradhan Mantri Matsya Sampada Yojana,4
28,CONSERVATION MANAGEMENT & DEVELOPMENT OF WILDLIFE IN THE STATE,5
29,REHABILITATION OF WATERLOGGED AND DEGRADED AREAS THROUGH BIO-DRAINAGE, AGRO FORESTRY AND OTHER PLANTATION ACTIVITIES IN PUNJAB (NABARD),5
30,PUNJAB FORESTRY WATERSHED DEVELOPMENT PROJECT (PFWDP),5
31,PLANTATION ALONG WITH MALWA REGION,5
32,DEVELOPMENT OF FORESTS (13TH FINANCE COMMISSION),5
33,ASSISTANCE TO STATE FOREST DEVELOPMENT AGENCY UNDER GREEN INDIA MISSION (GIM),5
34,ASSISTANCE TO STATE FOREST DEVELOPMENT AGENCY (SFDA) UNDER NATIONAL AFFORESTATION PROGRAMME (NAP),5
35,NATIONAL BAMBOO MISSION,5
36,PUNJAB COMPENSATORY AFFORESTATION FUND MANAGEMENT AND PLANNING AUTHORITY. (PUNCAMPA),5
37,Green Punjab Mission,5
38,Fencing of wildlife sanctuaries/ Block forests (RKVY),5
39,Establishment of Eucalyptus clonal nursery (RKVY),5
40,On the auspicious occasion of 400th Parkash Utsav of Sri Guru Teg Bahadur Ji, 400 saplings will be planted in each village of the State,5
41,Management and Development of Wildlife in the State,5
42,Implementation of Emergency Response Services in the State,6
43,Seed Corpus of Cancer Relief Fund,6
44,Balri Rakshak Yojana,6
45,Creation of Cancer and Drug addiction treatment infrastructure,6
46,Manpower development under national mental hospital Amritsar (60:40),6
47,Sarbat Sehat Bima Yojna,6
48,ASHA''s and ASHA Facilitators Fixed honorarium (100% SS),6
49,Setting up of Mohalla Clinics in Punjab,6
50,Rural Family Welfare Services (Funding of 2858 Sub-Centres) (100%CS),6
51,Mission Tandrust Punjab,6
52,construction of 8 New Maternal and Child Health wings  at various districts,6
53,new microbiology lab at FDA Kharar for testing both food and drug/medicines for biosafety measures and sterility,6
54,Urban Family Welfare Services (100%CS),6
55,Scheme for development of Mushroom Cultivation,7
56,National Horticulture Mission (60:40) (MIDH),7
57,Kamyaab Kisan Khushaal Punjab (K3P),7
58,Scheduled Caste Sub Plan (SCSP) Scheme for S.C Beneficiaries (Land/Landless) under Silk SAMAGRA,7
59,EWS Housing on Authority Land; EWS Private Project Housing Schemes; Regularisation Policy for standalone Project and Amnesty Policy for default in payment of instalments.,8
60,Work on Heritage Street Near Qila Mubarak, Patiala,8
61,Engagement of Young Professionals for Punjab State Planning Board,12
62,Border Area Infrastructure Development Programme (Special Package for Border Area),12
63,State Level Initiatives (Punjab Nirman Programme),12
64,Setting up of Kandi Area Development Board” for integrated development of Kandi Area,12
65,Border Area Development Programme (BADP) ACA,12
66,Engagement of Young Professionals for Economic & Statistical Organisation,12
67,Financial Assistance to Start-ups,9
68,State Scheme for Make in India Zero defect & Zero effect of MSME,9
69,State Scheme to promote Women entrepreneurship under standup India (WISH),9
70,State scheme for awareness and Entrepreneurship Development to promote SC/STs under Stand up India Project,9
71,Dedicated funds for meeting the state share for centrally sponsored schemes - assistance for promotion of Micro & Small Enterprises Cluster Development Programme (MSE-CDP),9
72,SMART CITIES MISSION,10
73,ATAL MISSION FOR REJUVENATION AND URBAN TRANSFORMATION (AMRUT),10
74,SWACHH BHARAT MISSION-URBAN,10
75,PUNJAB URBAN ENVIRONMENT IMPROVEMENT PROGRAMME (PUIEP),10
76,EMPOWERING SLUM DWELLERS - BASERA,10
77,NATIONAL URBAN LIVELIHOOD MISSION (NULM),10
78,Canal Based Water Supply Project in Amritsar And Ludhiana,10
79,Scheme for installation of High Mast Solar Powered Light in 750 rural stadium/playgrounds,11
80,A Compressed Bio-Gas (CBG) project based on Paddy Straw of 33 TPD capacity shall be commissioned in District Sangrur,11
81,SPV Water Pumping Programme under Pradhan Mantri Kissan Urja Surakhsha Evam Utthaan Mahabhiyan (PM-KUSUM Scheme) Solarization of agriculture pumps (Earlier SPV Water Pumping Programme under Jawaharlal Nehru Solar Mission),11
82,Solar Cooker Programme for women in the State under Jawaharlal Nehru National Solar Mission (CS:SS:Benf) (30:40:30) (Direct Release),11
83,Pilot Project of Solarisation in Bathinda,11
84,Setting up of aggregate capacity of 100 MW standalone Biomass Power Projects and 25 MW Biomass Solar Hybrid Power Projects.,11
85,Subsidy under Rural Electrification of Punjab Electricity Board,13
