DepartmentCode,SchemeCode,SchemeName
18,1,Amritsar Sewerage Project Funded by JICA
1,2,An Integrated Facility for Fruits & Vegetables 
5,3,Asha's & Asha Facilitators Fixed Honorarium 
15,4,Assistance for Underground Pipeline Projects Promoting Judicious Irrigation Use
4,5,Assistance to State Forest Development Agency 
2,6,Assistance to States for Control of Animal Disease
9,7,Atal Mission for Rejuvenation & Urban Transformation
18,8,Augmentation & Rehabilitation of Existing Rural Water Supply Schemes.
5,9,Balri Rakshak Yojana
7,10,Border Area Development Programme 
7,11,Border Area Infrastructure Development Programme 
9,12,Canal Based Water Supply Project 
16,13,Central Road Fund 
11,14,Commissioning 33 TPD Paddy Straw CBG Project
1,15,Compensation to Farmers for Stubble Management
15,16,Comprehensive Utilization of Treated Wastewater from STP
17,17,Concrete Lining of Arnauli Disty System
17,18,Concrete Lining of Bhawanigarh Disty System
17,19,Concrete Lining of Nadampur Disty System
4,20,Conservation Management & Development of Wildlife in The State
15,21,Construction for Rainwater Harvesting & Artificial Recharging in Govt. Institutional 
12,22,Construction Of 400 KV Sub-station
5,23,Construction of 8 New Maternal & Child Health Wings
2,24,Construction of Buildings for Veterinary Hospitals 
13,25,Construction of Cremation Ground
17,26,Construction of Embankments & Widening of River Ghaggar 
17,27,Construction of Field Channels on Kotla Branch Phase-II System 
13,28,Construction of Memorial Gates 
17,29,Construction of Nine New Low Dams for Water Management
17,30,Construction of Shahpur Kandi Dam
15,31,Construction of Water Harvestinng -cum- Natural Recharging Structures
17,32,Converting Banur Canal to Perennial Flow With Construction & Lining
5,33,Creation of Cancer & Drug Addiction Treatment Infrastructure
1,34,Crop Diversification Programme 
1,35,Crop Residue Management
2,36,Dairy Extension Training & Awareness
1,37,Debt Relief to Farmers & Farm Workers
4,38,Development of Forests
14,39,Empowering SC Communities, Including Girl Science Students, Through Tech Interventions
9,40,Empowering Slum Dwellers - Basera
7,41,Engagement of Young Professionals for Economic & Statistical Organisation
7,42,Engagement of Young Professionals for Punjab State Planning Board
15,43,Enhancing Punjab's Irrigation Potential Through Water Judicious Use Project.
8,44,Entrepreneurship Development & Awareness to Promote SC/STs
1,45,Established Agricultural Marketing Innovation Research & Intelligence Centre 
11,46,Establishing 100 Mw Standalone Biomass Power & 25 MW Hybrid Projects.
4,47,Establishment of Eucalyptus Clonal Nursery 
7,48,Ews Housing Project
4,49,Fencing of Wildlife Sanctuaries/ Block Forests 
8,50,Financial Assistance to Start-Ups
17,51,Flood Protection Works Along River Beas 
2,52,Foot & Mouth Disease Control Programme 
14,53,Government School Students Subsidized for Science City Visits.
12,54,Government To Provide Free Monthly Electricity
4,55,Green Punjab Mission
5,56,Implementation of Emergency Response Services in The State
1,57,Implementation of Sub-Mission on Agricultural Extension
1,58,Incentivizing Direct Seeding of Rice
17,59,Installation of Deep Tube Wells for Irrigation
11,60,Installation of High Mast Solar Powered Light in 750 Rural Stadium/Playgrounds
18,61,Installation of RO Systems in Heavy Metals Affected Districts 
13,62,Installation of Solar Lights in Rural Streets/areas
14,63,Installing 40 MLD CETP for Treating Effluent
14,64,Installing 50 MLD CETP for Treating Effluent
2,65,Integrated Development & Management of Fisheries
17,66,Integrated Project for Water Logging Problem in Punjab
6,67,Kamyaab Kisan Khushaal Punjab 
15,68,Laying Irrigation Infrastructure for Utilizing Water from Village Ponds
15,69,Laying Underground Pipelines for Conveying Irrigation Water
15,70,Laying Underground Pipelines for Irrigation from Sewage Treatment Plants
13,71,Liquid Waste Management in Rural Areas
13,72,Mahatma Gandhi National Rural Employment Guarantee Scheme 
13,73,Mahatma Gandhi Sarbat Vikas Yojna
4,74,Management & Development of Wildlife in The State
5,75,Manpower Development Under National Mental Hospital Amritsar
17,76,Measures to Tackle Water Logging & Floods in Punjab
5,77,Mission Tandrust Punjab 
13,78,Modernizing Villages With Over 50% Sc Population to Enhance Living
4,79,National Bamboo Mission
1,80,National Food Security Mission 
6,81,National Horticulture Mission 
2,82,National Livestock Mission 
15,83,National Mission on Micro Irrigation 
18,84,National Rural Drinking Water Supply Programme -Jal Jeevan Mission
13,85,National Rural Livelihood Mission 
9,86,National Urban Livelihood Mission 
5,87,New Microbiology Lab for Testing Both Food & Drug/Medicines 
13,88,Optimizing Infrastructure Utilization to Fill Gaps
1,89,Panni Bachao Paisa Kamao
1,90,Parampragat Krishi Vikas Yojna 
13,91,Pardhan Mantri Awaas Yojana
11,92,Pilot Project of Solarisation
4,93,Plantation Along With Malwa Region
4,94,Planting 400 Trees to Mark 400th Prakash Purab 
16,95,Pradhan Mantri Gramin Sadak Yojana 
15,96,Pradhan Mantri Krishi Sinchai Yozana for Soil & Water Conservation
13,97,Pradhan Mantri Krishi Sinchay Yojana 
2,98,Pradhan Mantri Matsya Sampada Yojana
8,99,Promote Women Entrepreneurship 
15,100,Promoting Precision Agriculture in Punjab
2,101,Promotion of Dairy Farming as Livelihood for SS Beneficiaries
8,102,Promotion of Micro & Small Enterprises Cluster Development Programme
15,103,Promotion of Micro Irrigation
1,104,Promotion of Pulses in Punjab
17,105,Protective Measures Along Left Side of River Ravi.
18,106,Providing Piped Water Supply Schemes for 700 Affected Villages
2,107,Provision of Essential Staff for Remaining Districts
18,108,Provision of Piped Water Supply in Rural Areas of Punjab 
18,109,Provision/Augmentation of Water Supply & Sewerage Facilities 
4,110,Punjab Compensatory Afforestation Fund Management & Planning Authority
4,111,Punjab forestry Watershed Development Project 
7,112,Punjab Nirman Programme
9,113,Punjab Urban Environment Improvement Programme 
17,114,Rajasthan Feeder Relining Project to Enhance Water Flow Efficiency
13,115,Rashtriya Gram Swaraj Abhiyan
1,116,Rashtriya Krishi Vikas Yojna 
14,117,Reducing Stubble Burning Pollution by Diversifying Paddy to Other Crops.
17,118,Rehabilitation of Bist Doab Canal System Minors With Concrete Lining
4,119,Rehabilitation of Waterlogged & Degraded Areas 
17,120,Renovation & Modernization of Regulators Structures Across Punjab
17,121,Repair & Re-construction of Distributaries & Minors
5,122,Rural Family Welfare Services 
5,123,Sarbat Sehat Bima Yojna
6,124,Scheduled Caste Sub Plan Scheme for SC Beneficiaries
15,125,Scheme Ensuring Irrigation for Waterlogged Areas
6,126,Scheme for Development of Mushroom Cultivation
8,127,Scheme for Make in India Zero Defect & Zero Effect of MSME
18,128,Second Punjab Rural Water Supply & Sanitation Sector Improvement Programme 
5,129,Seed Corpus of Cancer Relief Fund
2,130,Setting Up of Dairy Units for Sustainable Livestock & Employment Generation
7,131,Setting Up of Kandi Area Development Board
5,132,Setting Up of Mohalla Clinics in Punjab
13,133,Shyama Prasad Mukherji Rurban Mission
17,134,Sirhind Feeder Relining Project for Improved Water Distribution Efficiency
9,135,Smart Cities Mission
13,136,Smart Village Campaign
11,137,Solarizing Agriculture Pumps Under Pm-Kusum Scheme
13,138,Solid Waste Management in Rural Areas.
18,139,Special Assistance for Mitigating Arsenic & Fluoride Drinking Water Problems
11,140,State's Solar Cooker Program for Women Under Jawaharlal Nehru Solar Mission
2,141,Strengthening of Punjab Dairy Development Board
13,142,Strengthening/ Administration of Drdas/Zila Parishads
1,143,Sub-Mission on Agriculture Mechanization 
12,144,Subsidy Under Rural Electrification of Punjab Electricity Board
12,145,Supply, Installation, & Commissioning of LED-Based SPV Street Lights
18,146,Surface-based Piped Water Supply Scheme in Arsenic / Fluoride Affected Areas 
18,147,Swachh Bharat Abhiyan (Gramin)
9,148,Swachh Bharat Mission-Urban
17,149,Swan River Flood Management & L& Development Project.
1,150,Upgradation of Soil Health Labs 
2,151,Upgradation of Veterinary Institutions 
16,152,Upgradation, Construction & Repair of Roads & Bridges
18,153,Upgrading 58 Rural Piped Water Supply Schemes
12,154,Upgrading Sub-station of Nakodar's 1 No. 315 Mva To 500 Mva
5,155,Urban Family Welfare Services
15,156,Utilizing Treated Sewerage Plant Water in Punjab
7,157,Work on Heritage Street Near Qila Mubarak
16,158,World Bank Scheme for Road Infrastructure 
